PROVINCIA;MUNICIPIO;ESTACION;MAGNITUD;PUNTO_MUESTREO;ANO;MES;DIA;H01;V01;H02;V02;H03;V03;H04;V04;H05;V05;H06;V06;H07;V07;H08;V08;H09;V09;H10;V10;H11;V11;H12;V12;H13;V13;H14;V14;H15;V15;H16;V16;H17;V17;H18;V18;H19;V19;H20;V20;H21;V21;H22;V22;H23;V23;H24;V24
28;79;4;1;28079004_1_38;2021;4;1;9;V;10;V;10;V;10;V;10;V;10;V;10;V;11;V;11;V;11;V;10;V;10;V;10;V;9;V;8;V;7;V;7;V;7;V;6;V;7;V;8;V;9;V;10;V;10;V
28;79;4;1;28079004_1_38;2021;4;2;10;V;10;V;10;V;10;V;10;V;10;V;10;V;11;V;10;V;10;V;11;V;10;V;10;V;10;V;9;V;10;V;9;V;9;V;9;V;10;V;10;V;10;V;10;V;10;V
28;79;4;1;28079004_1_38;2021;4;3;10;V;11;V;11;V;10;V;10;V;11;V;11;V;10;V;10;V;10;V;10;V;11;V;10;V;9;V;8;V;8;V;8;V;8;V;8;V;9;V;10;V;10;V;10;V;11;V
28;79;4;1;28079004_1_38;2021;4;4;11;V;10;V;11;V;11;V;11;V;11;V;10;V;9;V;8;V;7;V;8;V;10;V;10;V;9;V;8;V;7;V;7;V;7;V;7;V;7;V;7;V;8;V;10;V;11;V
28;79;4;1;28079004_1_38;2021;4;5;10;V;11;V;10;V;11;V;11;V;10;V;10;V;10;V;13;V;11;V;11;V;11;V;10;V;9;V;7;V;7;V;8;V;7;V;7;V;7;V;7;V;8;V;10;V;10;V
28;79;4;1;28079004_1_38;2021;4;6;10;V;12;V;11;V;10;V;10;V;9;V;9;V;10;V;13;V;12;V;14;V;14;V;11;V;9;V;8;V;7;V;7;V;7;V;6;V;6;V;7;V;9;V;10;V;10;V
28;79;4;1;28079004_1_38;2021;4;7;10;V;11;V;11;V;11;V;11;V;10;V;10;V;9;V;8;V;8;V;8;V;10;V;11;V;10;V;8;V;8;V;8;V;8;V;8;V;7;V;8;V;9;V;10;V;10;V
28;79;4;1;28079004_1_38;2021;4;8;10;V;10;V;11;V;12;V;12;V;11;V;12;V;11;V;11;V;11;V;11;N;10;V;11;V;10;V;9;V;9;V;9;V;8;V;8;V;8;V;9;V;9;V;9;V;10;V
28;79;4;1;28079004_1_38;2021;4;9;10;V;10;V;10;V;10;V;11;V;11;V;10;V;11;V;11;V;12;V;11;V;11;V;11;V;11;V;11;V;10;V;11;V;11;V;11;V;9;V;9;V;10;V;12;V;12;N
28;79;4;1;28079004_1_38;2021;4;10;12;N;13;N;13;N;13;N;12;N;12;V;12;V;13;N;12;V;12;N;13;N;11;N;10;V;10;V;9;V;9;V;9;V;8;V;8;V;8;V;9;V;9;V;10;V;11;V
28;79;4;1;28079004_1_38;2021;4;11;12;N;10;V;12;V;11;V;10;V;11;V;12;V;12;V;12;V;12;V;12;V;11;V;10;V;10;V;9;V;9;V;10;V;10;V;10;V;10;V;10;V;10;V;11;V;11;V
28;79;4;1;28079004_1_38;2021;4;12;10;V;10;V;10;V;9;V;8;V;8;V;7;V;7;V;7;V;7;V;7;V;8;V;9;V;11;V;9;V;9;V;9;V;9;V;8;V;7;V;8;V;9;V;10;V;10;V
28;79;4;1;28079004_1_38;2021;4;13;10;V;11;V;12;V;11;V;11;V;11;V;10;V;11;V;16;V;14;V;11;V;12;N;0;N;0;N;0;N;6;N;10;V;13;V;13;V;10;V;10;V;10;V;10;V;11;V
28;79;4;1;28079004_1_38;2021;4;14;11;V;10;V;12;V;12;N;12;N;12;N;12;N;12;N;13;N;13;N;12;V;13;V;10;V;11;V;9;V;9;V;9;V;9;V;9;V;8;V;9;V;10;V;10;V;10;V
28;79;4;1;28079004_1_38;2021;4;15;10;V;10;V;11;V;10;V;10;V;11;V;12;V;11;V;12;V;13;V;11;V;13;V;13;V;11;V;10;V;10;V;10;V;10;V;10;V;9;V;10;V;10;V;10;V;11;V
28;79;4;1;28079004_1_38;2021;4;16;10;V;12;V;12;V;12;V;12;V;12;V;12;V;12;V;12;V;13;V;11;V;11;V;11;V;10;V;9;V;9;V;9;V;9;V;8;V;8;V;8;V;9;V;10;V;11;V
28;79;4;1;28079004_1_38;2021;4;17;11;V;9;V;8;V;7;V;6;V;6;V;6;V;6;V;6;V;6;V;7;V;8;V;9;V;11;V;10;V;9;V;9;V;8;V;8;V;8;V;9;V;10;V;10;V;12;V
28;79;4;1;28079004_1_38;2021;4;18;11;V;11;V;11;V;10;V;9;V;8;V;8;V;7;V;7;V;7;V;8;V;9;V;10;V;11;V;9;V;8;V;8;V;8;V;8;V;8;V;9;V;9;V;10;V;10;V
28;79;4;1;28079004_1_38;2021;4;19;10;V;11;V;11;V;11;V;11;V;11;V;10;V;11;V;13;V;14;V;12;V;13;V;12;V;10;V;9;V;8;V;8;V;8;V;8;N;9;V;10;V;10;V;10;V;10;V
28;79;4;1;28079004_1_38;2021;4;20;10;V;10;V;11;V;11;V;11;V;12;V;10;V;13;V;17;V;14;V;13;V;12;V;10;V;10;V;9;V;10;V;10;V;10;V;10;V;9;V;9;V;10;V;10;V;10;V
28;79;4;1;28079004_1_38;2021;4;21;10;V;10;V;11;V;11;V;11;V;12;V;12;V;14;V;16;V;14;V;11;V;11;V;10;V;9;V;9;V;9;V;9;V;9;V;10;V;9;V;10;V;10;V;11;V;10;V
28;79;4;1;28079004_1_38;2021;4;22;10;V;11;V;10;V;12;V;12;V;12;V;12;V;12;V;13;V;13;V;13;V;11;V;11;V;10;V;10;V;10;V;9;V;10;V;10;V;9;V;9;V;10;V;10;V;11;V
28;79;4;1;28079004_1_38;2021;4;23;10;V;10;V;11;V;11;V;11;V;12;V;11;V;12;V;12;V;12;V;11;V;11;V;11;V;10;V;10;V;10;V;10;V;10;V;9;V;9;V;10;V;10;V;10;V;10;V
28;79;4;1;28079004_1_38;2021;4;24;11;V;10;V;12;V;10;V;11;V;12;V;12;V;12;V;12;V;12;V;12;V;10;V;10;V;10;V;10;V;9;V;9;V;10;V;10;V;10;V;10;V;11;V;10;V;11;V
28;79;4;1;28079004_1_38;2021;4;25;12;V;11;V;10;V;12;V;13;V;12;V;12;V;12;V;12;V;12;V;10;V;10;V;11;V;11;V;10;V;11;V;11;V;12;V;12;V;11;V;10;V;12;V;12;V;12;V
28;79;4;1;28079004_1_38;2021;4;26;12;V;11;V;11;V;12;V;12;V;10;V;12;V;13;V;15;V;13;V;12;V;13;V;11;V;11;V;10;V;12;V;11;V;11;V;10;V;8;V;8;V;9;V;10;V;10;V
28;79;4;1;28079004_1_38;2021;4;27;10;V;10;V;11;V;12;V;13;V;13;V;14;V;14;V;15;V;16;V;15;V;15;V;12;V;11;V;10;V;10;V;10;V;10;V;10;V;10;V;10;V;10;V;10;V;10;V
28;79;4;1;28079004_1_38;2021;4;28;12;V;11;V;12;V;13;V;13;V;13;V;13;V;15;V;17;V;17;V;15;V;12;V;12;V;11;V;11;V;11;V;10;V;10;V;9;V;8;V;9;V;10;V;10;V;11;V
28;79;4;1;28079004_1_38;2021;4;29;11;V;11;V;12;V;11;V;11;V;11;V;12;V;11;V;13;V;11;V;12;V;12;V;12;V;11;V;10;V;10;V;10;V;10;V;9;V;8;V;9;V;10;V;10;V;12;V
28;79;4;1;28079004_1_38;2021;4;30;12;V;11;V;12;V;12;V;11;V;11;V;11;V;10;V;11;V;11;V;12;V;12;V;12;V;10;V;10;V;10;V;10;V;9;V;9;V;9;V;10;V;12;V;11;V;12;V
28;79;4;6;28079004_6_48;2021;4;1;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.3;V;000.2;V;000.3;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.3;V;000.3;V;000.2;V
28;79;4;6;28079004_6_48;2021;4;2;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.3;V;000.3;V;000.3;V
28;79;4;6;28079004_6_48;2021;4;3;000.2;V;000.2;V;000.3;V;000.3;V;000.2;V;000.2;V;000.2;V;000.4;V;000.9;V;000.9;V;000.3;V;000.3;V;000.4;V;000.3;V;000.3;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.3;V;000.4;V;000.5;V
28;79;4;6;28079004_6_48;2021;4;4;000.5;V;000.3;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.3;V;000.4;V;000.2;V;000.2;V;000.2;V;000.3;V;000.3;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.3;V;000.5;V;000.5;V;000.5;V
28;79;4;6;28079004_6_48;2021;4;5;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.3;V;000.4;V;001.7;N;000.7;N;000.7;V;000.4;V;000.3;V;000.3;V;000.2;V;000.3;V;000.3;V;000.2;V;000.2;V;000.2;V;000.2;V;000.3;V;000.3;V;000.6;V
28;79;4;6;28079004_6_48;2021;4;6;000.4;V;000.3;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;001.2;N;001.0;N;001.2;N;001.1;N;000.6;N;000.5;V;000.4;V;000.2;V;000.3;V;000.2;V;000.3;V;000.2;V;000.2;V;000.2;V;000.3;V;000.3;V;000.3;V
28;79;4;6;28079004_6_48;2021;4;7;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.4;V;000.3;V;000.3;V;000.3;V;000.3;V;000.4;V;000.3;V;000.3;V;000.3;V;000.4;V;000.3;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V
28;79;4;6;28079004_6_48;2021;4;8;000.2;V;000.1;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.3;V;000.4;V;000.3;N;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.3;V;000.3;V
